category,model,uc_prob,tc_prob
coding,gemini-2.5-pro,0.9193057417869568,0.7663374543190002
coding,deepseek-r1-0528,0.8674198389053345,0.5441980957984924
coding,gpt-4o-2024-11-20,0.8601978421211243,0.4993947446346283
coding,gemini-2.5-pro-preview-03-25,0.8401602506637573,0.5063443779945374
coding,grok-4-0709,0.8356409072875977,0.49910908937454224
coding,llama-4-maverick-03-26-experimental,0.6980299353599548,0.4965681731700897
coding,o3-2025-04-16,0.690984308719635,0.4970158040523529
coding,chatgpt-4o-latest-20250326,0.6297318339347839,0.49453625082969666
creative_writing,gemini-2.5-pro,0.9228902459144592,0.791107714176178
creative_writing,grok-3-preview-02-24,0.887169599533081,0.7850645184516907
creative_writing,llama-4-maverick-03-26-experimental,0.883204996585846,0.786861002445221
creative_writing,claude-opus-4-20250514-thinking-16k,0.8731299042701721,0.7711701393127441
creative_writing,gemini-2.5-pro-preview-03-25,0.8581641912460327,0.7851685285568237
creative_writing,gemini-2.0-flash-thinking-exp-01-21,0.8466370105743408,0.7286469340324402
creative_writing,o4-mini-2025-04-16,0.8320370316505432,0.7648628354072571
creative_writing,gemini-2.5-pro-preview-05-06,0.8296958804130554,0.785415768623352
instruction_following,gemini-2.5-pro,0.9191880822181702,0.7858518958091736
instruction_following,gemini-2.5-flash,0.9125565886497498,0.7758890986442566
instruction_following,gemini-2.5-pro-preview-05-06,0.9123148322105408,0.7807146906852722
instruction_following,grok-3-preview-02-24,0.9104195237159729,0.7845340967178345
instruction_following,gemini-2.5-flash-preview-04-17,0.9075877070426941,0.7734642028808594
instruction_following,o3-2025-04-16,0.9062511920928955,0.7771780490875244
instruction_following,deepseek-r1-0528,0.9008492231369019,0.7707672119140625
instruction_following,grok-4-0709,0.8930660486221313,0.7758311033248901
math,gemini-2.5-pro,0.9237498044967651,0.7930727005004883
math,gemini-2.5-flash,0.9222620725631714,0.7875575423240662
math,minimax-m1,0.8942081928253174,0.7893494367599487
math,gemini-2.5-pro-preview-03-25,0.8863753080368042,0.7646912336349487
math,grok-4-0709,0.8818929195404053,0.7760536074638367
math,qwen3-235b-a22b,0.8715993762016296,0.7882965207099915
math,gemini-2.0-flash-thinking-exp-01-21,0.8332688212394714,0.7563051581382751
math,qwen-max-2025-01-25,0.8103484511375427,0.7746239304542542
other,gemini-2.5-pro,0.923378586769104,0.7671797275543213
other,llama-4-maverick-03-26-experimental,0.7197385430335999,0.49591144919395447
other,o3-2025-04-16,0.6439146399497986,0.4984382092952728
other,gemini-2.5-pro-preview-03-25,0.6110321283340454,0.4776042401790619
other,chatgpt-4o-latest-20250326,0.5809774398803711,0.49367275834083557
other,grok-3-preview-02-24,0.5799471735954285,0.49780917167663574
other,qwen3-235b-a22b,0.5019750595092773,0.45635896921157837
other,gemini-2.5-flash-preview-04-17,0.4836065471172333,0.4392382800579071
